gvkey	datadate	fyear	indfmt	consol	popsrc	datafmt	tic	conm	curcd	aco	act	aqc	capx	ceq	che	cogs	cshfd	csho	cshpri	dlc	dltt	dp	epsfi	epsfx	gdwlip	ib	ibadj	invt	lct	mib	niadj	oiadp	oibdp	pstk	recd	rect	rectr	sale	seq	txt	wdp	xint	xpp	xsga	exchg	cik	costat	prcc_f	loc	sic
001230	20111231	2011	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	273.9000	1595.5000	0.0000	387.4000	1173.2000	1140.9000	3172.5000	36.7100	35.4750	35.8780	207.9000	1099.0000	246.9000	6.6600	6.6600		244.5000	244.5000	44.3000	1509.6000	0.0000	244.5000	487.8000	734.7000	0.0000	0.8000	136.4000	105.9000	4317.8000	1173.2000	149.2000	-6.2000	87.3000	73.8000	410.6000	11	0000766421	A	75.0900	USA	4512
001230	20121231	2012	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	297.0000	1737.0000	0.0000	518.0000	1421.0000	1252.0000	3445.0000	71.7840	70.3770	70.7080	161.0000	871.0000	264.0000	4.4000	4.4000		316.0000	316.0000	58.0000	1501.0000	0.0000	316.0000	532.0000	796.0000	0.0000	0.0000	130.0000		4657.0000	1421.0000	198.0000		64.0000		416.0000	11	0000766421	A	43.0900	USA	4512
001230	20131231	2013	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	220.0000	1762.0000	0.0000	566.0000	2029.0000	1330.0000	3591.0000	70.9390	68.7460	69.9550	117.0000	754.0000	270.0000	7.1600	7.1600		508.0000	508.0000	60.0000	1580.0000	0.0000	508.0000	646.0000	916.0000	0.0000	1.0000	152.0000		4964.0000	2029.0000	308.0000		56.0000		457.0000	11	0000766421	A	73.3700	USA	4512
001230	20141231	2014	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	222.0000	1756.0000	0.0000	694.0000	2127.0000	1217.0000	3635.0000	136.8010	131.4810	135.4450	117.0000	686.0000	294.0000	4.4200	4.4200		605.0000	605.0000	58.0000	1671.0000	0.0000	605.0000	932.0000	1226.0000	0.0000	1.0000	259.0000		5368.0000	2127.0000	370.0000		48.0000		507.0000	11	0000766421	A	59.7600	USA	4512
001230	20151231	2015	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	72.0000	1663.0000	0.0000	831.0000	2411.0000	1328.0000	3381.0000	129.3720	125.1750	128.3730	115.0000	571.0000	320.0000	6.5600	6.5600		848.0000	848.0000	51.0000	1806.0000	0.0000	848.0000	1330.0000	1650.0000	0.0000	1.0000	212.0000		5598.0000	2411.0000	464.0000		42.0000		567.0000	11	0000766421	A	80.5100	USA	4512
001230	20161231	2016	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	121.0000	2050.0000	1951.0000	678.0000	2931.0000	1580.0000	3512.0000	124.3890	123.3280	123.5570	319.0000	2645.0000	363.0000	6.5400	6.5400		814.0000	814.0000	47.0000	2535.0000	0.0000	814.0000	1466.0000	1829.0000	0.0000	1.0000	302.0000		5931.0000	2931.0000	531.0000		55.0000		590.0000	11	0000766421	A	88.7300	USA	4512
001230	20171231	2017	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	127.0000	2146.0000	0.0000	1026.0000	3721.0000	1621.0000	5261.0000	123.8540	123.0610	123.2110	307.0000	2262.0000	372.0000	8.3500	8.3500		1034.0000	1034.0000	57.0000	2700.0000	0.0000	1034.0000	1378.0000	1750.0000	0.0000	1.0000	341.0000		7933.0000	3721.0000	173.0000		103.0000		922.0000	11	0000766421	A	73.5100	USA	4512
001230	20181231	2018	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	125.0000	1787.0000	0.0000	960.0000	3751.0000	1236.0000	6193.0000	123.9750	123.1940	123.2300	486.0000	1617.0000	398.0000	3.5200	3.5200		437.0000	437.0000	60.0000	2942.0000	0.0000	437.0000	775.0000	1173.0000	0.0000	1.0000	366.0000		8264.0000	3751.0000	148.0000		91.0000		898.0000	11	0000766421	A	60.8500	USA	4512
001230	20191231	2019	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	121.0000	2037.0000	0.0000	696.0000	4331.0000	1521.0000	6379.0000	124.2890	123.0000	123.2790	504.0000	2703.0000	423.0000	6.1900	6.1900		769.0000	769.0000	72.0000	3201.0000	0.0000	769.0000	1107.0000	1530.0000	0.0000		323.0000		8781.0000	4331.0000	247.0000		78.0000		872.0000	11	0000766421	A	67.7500	USA	4512
001382	20001231	2000	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	41.7840	431.1000	0.0000	255.4170	667.0730	194.8240	2145.7510	35.6880	33.5990	35.1390	159.6670	145.5780	195.2400	0.2200	0.2200		7.6790	7.6790	41.8430	614.1970	0.0000	7.6790	3.3630	198.6030	0.0000	1.7940	152.6490	152.6490	2344.3540	667.0730	17.0640		24.4490	41.7840		11	0000701345	I	12.8125	USA	4512
001382	20011231	2001	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	43.6880	361.3980	0.0000	633.2460	522.3430	156.8650	2142.2630	33.6700	33.7280	33.6700	119.1410	222.9550	199.8830	-4.3900	-4.3900		-147.8710	-147.8710	51.8330	690.5260	0.0000	-147.8710	-276.2330	-76.3500	0.0000	3.2160	109.0120	109.0120	2065.9130	522.3430	-73.2300		38.8490	43.6880		11	0000701345	I	3.5000	USA	4512
001382	20021231	2002	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	108.8190	607.3980	0.0000	157.2020	68.1780	360.4880	1491.0060	33.7230	33.7130	33.7230	22.2380	712.9820	185.4740	-11.5000	-5.3300		-179.6860	-179.6860	55.8940	510.8340	0.0000	-387.9090	-141.0500	44.4240	0.0000	6.7670	82.1970	82.1970	2047.1160	68.1780	-35.0710	-2.8000	75.4420	108.8190	511.6860	11	0000701345	I	1.8000	USA	4512
001382	20031231	2003	INDL	C	D	STD	LCC	US AIRWAYS GROUP INC	USD	129.3680	784.0500	0.0000	154.3650	138.5160	518.8720	1589.3190	52.6750	35.8140	34.5510	107.3410	697.4320	171.2710	1.2900	1.2900		57.4200	57.4200	58.5750	649.2830	0.0000	57.4200	47.2510	218.5220	0.0000	5.8070	77.2350	77.2350	2254.4970	138.5160	0.1140	-2.6000	81.3240	129.3680	446.6560	11	0000701345	I	12.4000	USA	4512
