letter_type,date_trans,cik,Name,Business
UPLOAD,2010-10-25,1405419,Gulfstream International Group Inc,FL
UPLOAD,2010-10-28,948846,Airtran Holdings Inc,FL
UPLOAD,2010-10-28,6201,American Airlines Group Inc,TX
UPLOAD,2010-11-01,4515,,
UPLOAD,2010-11-02,4515,,
UPLOAD,2010-11-04,701345,US Airways Group Inc,AZ
UPLOAD,2010-11-12,1144331,Expressjet Holdings Inc,TX
CORRESP,2010-11-19,1144331,Expressjet Holdings Inc,TX
UPLOAD,2010-12-01,1158463,Jetblue Airways Corp,NY
UPLOAD,2010-12-28,1172222,Hawaiian Holdings Inc,HI
CORRESP,2011-01-11,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2011-01-25,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2011-04-04,1158463,Jetblue Airways Corp,NY
UPLOAD,2011-04-05,27904,Delta Air Lines Inc,GA
CORRESP,2011-04-15,27904,Delta Air Lines Inc,GA
CORRESP,2011-04-15,1158463,Jetblue Airways Corp,NY
UPLOAD,2011-04-29,27904,Delta Air Lines Inc,GA
CORRESP,2011-05-05,27904,Delta Air Lines Inc,GA
UPLOAD,2011-05-10,27904,Delta Air Lines Inc,GA
UPLOAD,2011-05-12,1158463,Jetblue Airways Corp,NY
UPLOAD,2011-08-09,27904,Delta Air Lines Inc,GA
UPLOAD,2011-08-17,100517,United Continental Holdings Inc,IL
UPLOAD,2011-08-17,319687,United Airlines Inc,IL
UPLOAD,2011-08-17,101001,,
UPLOAD,2011-08-18,869187,Baltia Air Lines Inc,NY
CORRESP,2011-08-26,319687,United Airlines Inc,IL
CORRESP,2011-08-26,100517,United Continental Holdings Inc,IL
CORRESP,2011-08-26,101001,,
CORRESP,2011-08-31,869187,Baltia Air Lines Inc,NY
CORRESP,2011-09-15,869187,Baltia Air Lines Inc,NY
UPLOAD,2011-09-21,914397,Great Lakes Aviation LTD,WY
CORRESP,2011-09-28,27904,Delta Air Lines Inc,GA
UPLOAD,2011-09-28,869187,Baltia Air Lines Inc,NY
CORRESP,2011-10-05,914397,Great Lakes Aviation LTD,WY
CORRESP,2011-10-14,869187,Baltia Air Lines Inc,NY
UPLOAD,2011-10-14,914397,Great Lakes Aviation LTD,WY
UPLOAD,2011-10-18,4515,,
UPLOAD,2011-10-18,6201,American Airlines Group Inc,TX
UPLOAD,2011-10-25,100517,United Continental Holdings Inc,IL
UPLOAD,2011-10-25,101001,,
UPLOAD,2011-10-25,319687,United Airlines Inc,IL
CORRESP,2011-11-01,6201,American Airlines Group Inc,TX
CORRESP,2011-11-01,4515,,
CORRESP,2011-11-04,27904,Delta Air Lines Inc,GA
CORRESP,2011-11-07,100517,United Continental Holdings Inc,IL
CORRESP,2011-11-07,319687,United Airlines Inc,IL
CORRESP,2011-11-07,101001,,
UPLOAD,2011-11-15,6201,American Airlines Group Inc,TX
UPLOAD,2011-11-15,4515,,
UPLOAD,2011-11-16,27904,Delta Air Lines Inc,GA
UPLOAD,2011-11-17,27904,Delta Air Lines Inc,GA
UPLOAD,2011-11-28,4515,,
UPLOAD,2011-11-28,6201,American Airlines Group Inc,TX
CORRESP,2012-01-12,100517,United Continental Holdings Inc,IL
UPLOAD,2012-01-18,101001,,
UPLOAD,2012-01-18,100517,United Continental Holdings Inc,IL
UPLOAD,2012-01-18,319687,United Airlines Inc,IL
UPLOAD,2012-04-02,92380,Southwest Airlines Co,TX
UPLOAD,2012-04-12,27904,Delta Air Lines Inc,GA
CORRESP,2012-04-16,92380,Southwest Airlines Co,TX
UPLOAD,2012-04-17,101001,,
UPLOAD,2012-04-17,319687,United Airlines Inc,IL
UPLOAD,2012-04-17,100517,United Continental Holdings Inc,IL
CORRESP,2012-04-18,101001,,
CORRESP,2012-04-18,100517,United Continental Holdings Inc,IL
CORRESP,2012-04-18,319687,United Airlines Inc,IL
UPLOAD,2012-04-23,869187,Baltia Air Lines Inc,NY
CORRESP,2012-04-25,27904,Delta Air Lines Inc,GA
UPLOAD,2012-04-26,766421,Alaska Air Group Inc,WA
UPLOAD,2012-04-27,92380,Southwest Airlines Co,TX
CORRESP,2012-05-08,766421,Alaska Air Group Inc,WA
CORRESP,2012-05-10,92380,Southwest Airlines Co,TX
UPLOAD,2012-05-11,100517,United Continental Holdings Inc,IL
UPLOAD,2012-05-11,319687,United Airlines Inc,IL
UPLOAD,2012-05-11,101001,,
UPLOAD,2012-05-14,27904,Delta Air Lines Inc,GA
UPLOAD,2012-05-16,766421,Alaska Air Group Inc,WA
UPLOAD,2012-05-17,92380,Southwest Airlines Co,TX
CORRESP,2012-05-25,27904,Delta Air Lines Inc,GA
UPLOAD,2012-06-01,1158463,Jetblue Airways Corp,NY
UPLOAD,2012-06-05,27904,Delta Air Lines Inc,GA
CORRESP,2012-06-08,92380,Southwest Airlines Co,TX
CORRESP,2012-06-11,1158463,Jetblue Airways Corp,NY
UPLOAD,2012-06-12,1158463,Jetblue Airways Corp,NY
UPLOAD,2012-07-16,1159154,Republic Airways Holdings Inc,IN
UPLOAD,2012-07-24,92380,Southwest Airlines Co,TX
CORRESP,2012-08-10,1159154,Republic Airways Holdings Inc,IN
UPLOAD,2012-08-17,1159154,Republic Airways Holdings Inc,IN
UPLOAD,2012-08-17,894081,Air Transport Services Group Inc,OH
UPLOAD,2012-08-27,1166291,Pinnacle Airlines Corp,TN
CORRESP,2012-08-29,894081,Air Transport Services Group Inc,OH
UPLOAD,2012-09-06,1362468,Allegiant Travel Co,NV
UPLOAD,2012-09-11,894081,Air Transport Services Group Inc,OH
CORRESP,2012-09-13,1166291,Pinnacle Airlines Corp,TN
UPLOAD,2012-09-20,1166291,Pinnacle Airlines Corp,TN
CORRESP,2012-09-28,1362468,Allegiant Travel Co,NV
UPLOAD,2012-10-15,1362468,Allegiant Travel Co,NV
CORRESP,2012-10-15,92380,Southwest Airlines Co,TX
UPLOAD,2012-11-07,4515,,
UPLOAD,2012-11-07,6201,American Airlines Group Inc,TX
UPLOAD,2012-11-13,92380,Southwest Airlines Co,TX
CORRESP,2012-11-16,4515,,
CORRESP,2012-11-16,6201,American Airlines Group Inc,TX
UPLOAD,2012-11-29,4515,,
UPLOAD,2012-11-29,6201,American Airlines Group Inc,TX
UPLOAD,2012-12-06,793733,Skywest Inc,UT
CORRESP,2012-12-20,793733,Skywest Inc,UT
UPLOAD,2013-01-17,793733,Skywest Inc,UT
CORRESP,2013-01-31,793733,Skywest Inc,UT
UPLOAD,2013-02-07,793733,Skywest Inc,UT
UPLOAD,2013-03-07,766421,Alaska Air Group Inc,WA
UPLOAD,2013-03-12,1158463,Jetblue Airways Corp,NY
CORRESP,2013-03-18,766421,Alaska Air Group Inc,WA
CORRESPNA,2013-03-26,914397,Great Lakes Aviation LTD,WY
CORRESP,2013-03-26,1158463,Jetblue Airways Corp,NY
UPLOAD,2013-03-28,1158463,Jetblue Airways Corp,NY
UPLOAD,2013-04-02,766421,Alaska Air Group Inc,WA
UPLOAD,2013-05-02,27904,Delta Air Lines Inc,GA
CORRESP,2013-05-16,27904,Delta Air Lines Inc,GA
UPLOAD,2013-06-03,27904,Delta Air Lines Inc,GA
UPLOAD,2013-09-11,1158463,Jetblue Airways Corp,NY
UPLOAD,2013-09-13,869187,Baltia Air Lines Inc,NY
UPLOAD,2013-09-16,1172222,Hawaiian Holdings Inc,HI
CORRESP,2013-09-20,1158463,Jetblue Airways Corp,NY
CORRESP,2013-09-25,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2013-09-25,914397,Great Lakes Aviation LTD,WY
UPLOAD,2013-09-27,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2013-10-02,1158463,Jetblue Airways Corp,NY
CORRESP,2013-10-09,914397,Great Lakes Aviation LTD,WY
CORRESP,2013-10-09,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2013-10-18,1172222,Hawaiian Holdings Inc,HI
CORRESP,2013-10-31,869187,Baltia Air Lines Inc,NY
UPLOAD,2013-10-31,869187,Baltia Air Lines Inc,NY
UPLOAD,2013-11-25,914397,Great Lakes Aviation LTD,WY
UPLOAD,2013-11-27,869187,Baltia Air Lines Inc,NY
CORRESP,2013-12-05,914397,Great Lakes Aviation LTD,WY
UPLOAD,2013-12-19,914397,Great Lakes Aviation LTD,WY
UPLOAD,2013-12-26,894081,Air Transport Services Group Inc,OH
UPLOAD,2013-12-31,701345,US Airways Group Inc,AZ
CORRESP,2014-01-14,701345,US Airways Group Inc,AZ
CORRESP,2014-01-17,894081,Air Transport Services Group Inc,OH
CORRESP,2014-01-22,869187,Baltia Air Lines Inc,NY
UPLOAD,2014-01-23,869187,Baltia Air Lines Inc,NY
CORRESP,2014-01-29,701345,US Airways Group Inc,AZ
UPLOAD,2014-02-04,701345,US Airways Group Inc,AZ
UPLOAD,2014-02-04,894081,Air Transport Services Group Inc,OH
UPLOAD,2014-02-19,869187,Baltia Air Lines Inc,NY
UPLOAD,2014-04-17,1158463,Jetblue Airways Corp,NY
UPLOAD,2014-04-22,27904,Delta Air Lines Inc,GA
CORRESP,2014-05-01,1158463,Jetblue Airways Corp,NY
CORRESP,2014-05-01,27904,Delta Air Lines Inc,GA
UPLOAD,2014-05-06,1158463,Jetblue Airways Corp,NY
UPLOAD,2014-05-06,27904,Delta Air Lines Inc,GA
UPLOAD,2014-05-13,793733,Skywest Inc,UT
CORRESP,2014-05-20,793733,Skywest Inc,UT
UPLOAD,2014-05-29,793733,Skywest Inc,UT
UPLOAD,2014-10-30,27904,Delta Air Lines Inc,GA
CORRESP,2014-11-10,27904,Delta Air Lines Inc,GA
CORRESP,2014-12-12,27904,Delta Air Lines Inc,GA
UPLOAD,2014-12-17,27904,Delta Air Lines Inc,GA
UPLOAD,2015-04-22,319687,United Airlines Inc,IL
UPLOAD,2015-04-22,100517,United Continental Holdings Inc,IL
CORRESP,2015-05-04,100517,United Continental Holdings Inc,IL
CORRESP,2015-05-04,319687,United Airlines Inc,IL
UPLOAD,2015-05-07,100517,United Continental Holdings Inc,IL
UPLOAD,2015-05-07,319687,United Airlines Inc,IL
UPLOAD,2015-06-09,4515,,
UPLOAD,2015-06-09,6201,American Airlines Group Inc,TX
CORRESP,2015-06-25,6201,American Airlines Group Inc,TX
UPLOAD,2015-06-29,6201,American Airlines Group Inc,TX
UPLOAD,2015-06-29,4515,,
UPLOAD,2015-10-27,869187,Baltia Air Lines Inc,NY
CORRESP,2015-10-28,869187,Baltia Air Lines Inc,NY
UPLOAD,2015-11-13,869187,Baltia Air Lines Inc,NY
UPLOAD,2015-12-22,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2015-12-29,793733,Skywest Inc,UT
CORRESP,2016-01-06,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2016-01-08,1172222,Hawaiian Holdings Inc,HI
CORRESP,2016-01-12,793733,Skywest Inc,UT
